Date	Time	AI:2  Analog Input	MT2   Time
16-Mar-05	10:02:29	404.312	3264.075
16-Mar-05	10:02:29	474.663	3264.274
16-Mar-05	10:02:29	520.950	3264.514
16-Mar-05	10:02:29	536.162	3264.674
16-Mar-05	10:02:29	553.188	3264.874
16-Mar-05	10:02:30	566.175	3265.074
16-Mar-05	10:02:30	576.463	3265.274
16-Mar-05	10:02:30	585.200	3265.474
16-Mar-05	10:02:30	592.375	3265.674
16-Mar-05	10:02:30	598.375	3265.874
16-Mar-05	10:02:31	603.588	3266.074
16-Mar-05	10:02:31	607.963	3266.274
16-Mar-05	10:02:31	611.675	3266.474
16-Mar-05	10:02:31	614.912	3266.674
16-Mar-05	10:02:31	617.763	3266.874
16-Mar-05	10:02:32	620.138	3267.074
16-Mar-05	10:02:32	622.888	3267.314
16-Mar-05	10:02:32	624.075	3267.474
16-Mar-05	10:02:32	625.650	3267.674
16-Mar-05	10:02:32	626.937	3267.874
16-Mar-05	10:02:33	628.075	3268.074
16-Mar-05	10:02:33	629.013	3268.274
16-Mar-05	10:02:33	629.838	3268.474
16-Mar-05	10:02:33	630.487	3268.674
16-Mar-05	10:02:33	631.037	3268.875
16-Mar-05	10:02:34	631.463	3269.075
16-Mar-05	10:02:34	631.813	3269.275
16-Mar-05	10:02:34	632.050	3269.475
16-Mar-05	10:02:34	632.237	3269.675
16-Mar-05	10:02:34	632.350	3269.875
16-Mar-05	10:02:35	632.400	3270.115
16-Mar-05	10:02:35	632.400	3270.275
16-Mar-05	10:02:35	632.325	3270.475
16-Mar-05	10:02:35	632.237	3270.675
16-Mar-05	10:02:35	632.100	3270.874
16-Mar-05	10:02:36	631.925	3271.074
16-Mar-05	10:02:36	631.737	3271.274
16-Mar-05	10:02:36	631.513	3271.474
16-Mar-05	10:02:36	631.250	3271.674
16-Mar-05	10:02:36	630.987	3271.874
16-Mar-05	10:02:37	630.700	3272.074
16-Mar-05	10:02:37	630.400	3272.274
16-Mar-05	10:02:37	630.062	3272.474
16-Mar-05	10:02:37	629.763	3272.674
16-Mar-05	10:02:37	629.438	3272.874
16-Mar-05	10:02:38	629.075	3273.074
16-Mar-05	10:02:38	628.725	3273.274
16-Mar-05	10:02:38	628.350	3273.474
16-Mar-05	10:02:38	628.000	3273.674
16-Mar-05	10:02:38	627.650	3273.874
16-Mar-05	10:02:39	627.275	3274.074
16-Mar-05	10:02:39	626.875	3274.274
16-Mar-05	10:02:39	626.487	3274.474
16-Mar-05	10:02:39	626.100	3274.674
