Date	Time	AI:2  Analog Input	MT2   Time
16-Mar-05	09:32:56	36.162	1491.675
16-Mar-05	09:32:56	36.187	1491.735
16-Mar-05	09:32:58	36.263	1493.056
16-Mar-05	09:32:58	36.263	1493.173
16-Mar-05	09:32:58	36.263	1493.373
16-Mar-05	09:32:58	36.263	1493.573
16-Mar-05	09:32:58	36.263	1493.773
16-Mar-05	09:32:58	36.287	1493.973
16-Mar-05	09:32:59	36.263	1494.173
16-Mar-05	09:32:59	36.263	1494.373
16-Mar-05	09:32:59	36.263	1494.572
16-Mar-05	09:32:59	36.287	1494.772
16-Mar-05	09:32:59	36.287	1494.972
16-Mar-05	09:33:00	36.287	1495.172
16-Mar-05	09:33:00	36.287	1495.372
16-Mar-05	09:33:00	36.287	1495.572
16-Mar-05	09:33:00	36.287	1495.772
16-Mar-05	09:33:00	36.338	1495.972
16-Mar-05	09:33:01	36.412	1496.172
16-Mar-05	09:33:01	36.675	1496.372
16-Mar-05	09:33:01	37.263	1496.572
16-Mar-05	09:33:01	39.025	1496.772
16-Mar-05	09:33:01	40.700	1496.972
16-Mar-05	09:33:02	41.338	1497.172
16-Mar-05	09:33:02	42.487	1497.372
16-Mar-05	09:33:02	43.487	1497.572
16-Mar-05	09:33:02	44.100	1497.772
16-Mar-05	09:33:02	43.775	1497.951
16-Mar-05	09:33:03	43.437	1498.151
16-Mar-05	09:33:03	43.513	1498.351
16-Mar-05	09:33:03	43.112	1498.551
16-Mar-05	09:33:03	43.287	1498.815
16-Mar-05	09:33:03	43.575	1498.951
16-Mar-05	09:33:04	43.388	1499.151
16-Mar-05	09:33:04	45.237	1499.351
16-Mar-05	09:33:04	376.862	1499.551
16-Mar-05	09:33:04	526.987	1499.773
16-Mar-05	09:33:04	566.650	1499.973
16-Mar-05	09:33:05	585.475	1500.173
16-Mar-05	09:33:05	597.200	1500.373
16-Mar-05	09:33:05	605.350	1500.573
16-Mar-05	09:33:05	611.350	1500.773
16-Mar-05	09:33:05	615.975	1500.973
16-Mar-05	09:33:06	619.600	1501.172
16-Mar-05	09:33:06	622.513	1501.372
16-Mar-05	09:33:06	625.500	1501.612
16-Mar-05	09:33:06	626.775	1501.772
16-Mar-05	09:33:06	628.350	1501.972
16-Mar-05	09:33:07	629.650	1502.172
16-Mar-05	09:33:07	630.725	1502.372
16-Mar-05	09:33:07	631.625	1502.572
16-Mar-05	09:33:07	632.375	1502.772
16-Mar-05	09:33:07	632.963	1502.972
16-Mar-05	09:33:08	633.463	1503.172
16-Mar-05	09:33:08	633.838	1503.372
16-Mar-05	09:33:08	634.125	1503.572
16-Mar-05	09:33:08	634.338	1503.772
16-Mar-05	09:33:08	634.475	1503.972
16-Mar-05	09:33:09	634.525	1504.172
16-Mar-05	09:33:09	634.525	1504.372
16-Mar-05	09:33:09	634.450	1504.551
16-Mar-05	09:33:09	634.338	1504.751
16-Mar-05	09:33:09	634.187	1504.951
16-Mar-05	09:33:10	634.000	1505.151
16-Mar-05	09:33:10	633.763	1505.351
16-Mar-05	09:33:10	633.537	1505.551
16-Mar-05	09:33:10	633.275	1505.751
